ID,CSE1,CSE2,CSE3,CSE4,SECTION
1,cxscc51$*%^&,dsfe36dsfy,sada79xfsadf,H%d%29vgfs,B
2,cxscc27xdff,dsfe29asdgfw,edf84dsffw,bffdd73adsfy,C
3,ddsfs52dsffw,edf32**&%&,edf31vgfs,ddfs49asdgfw,B
4,ddfs36dsffw,H%d%57vgfs,#%%$54xfsadf,H%d%28asdgfw,B
5,dsfe30**^&$,ddfs67dsfy,edf35$*%^&,**$@%29**^&$,D
6,edf28dsffw,edf59**&%&,bffdd57vgfs,sada79xdff,C
7,cxscc85asdgfw,ddfs49**&%&,sada89xfsadf,bffdd69$*%^&,C
8,#%%$86**^&$,dsfe39dsfy,sada45xdff,#%%$69**&%&,B
9,ddfs78dsffw,bffdd86xfsadf,edf50dsfy,sada35dsffw,D
10,ddfs81**&%&,**$@%40asdgfw,**$@%93**&%&,sada43dsffw,C
11,cxscc88**&%&,**$@%43asdgfw,cxscc43**&%&,H%d%60xfsadf,B
12,edf66dsfy,#%%$65xdff,H%d%40dsffw,sada39**&%&,A
13,ddsfs67asdgfw,sada34**&%&,ddfs71xdff,dsfe34**&%&,C
14,**$@%89adsfy,H%d%58xdff,cxscc33asdgfw,cxscc69$*%^&,C
15,#%%$54$*%^&,cxscc58dsfy,**$@%92dsffw,edf75dsffw,D
16,ddfs48vgfs,dsfe50**^&$,#%%$30**&%&,ddsfs90xfsadf,B
17,cxscc46dsfy,dsfe33**^&$,bffdd66dsfy,sada34xdff,A
18,#%%$27dsfy,ddfs67vgfs,bffdd91asdgfw,**$@%93adsfy,D
19,cxscc32**&%&,#%%$46asdgfw,#%%$86asdgfw,sada72dsfy,D
20,ddsfs34$*%^&,ddfs49asdgfw,ddsfs75vgfs,bffdd39$*%^&,A
21,edf46asdgfw,edf56$*%^&,cxscc32**&%&,sada83xfsadf,C
22,edf35adsfy,ddfs85**^&$,edf59xdff,#%%$60**^&$,D
23,#%%$63xdff,sada49**^&$,H%d%48dsfy,**$@%79vgfs,D
24,dsfe28$*%^&,ddsfs61vgfs,sada30dsffw,sada36xdff,B
25,**$@%33adsfy,cxscc76adsfy,cxscc89dsfy,edf83vgfs,A
26,ddsfs78dsffw,cxscc82xdff,cxscc54asdgfw,ddsfs94xdff,B
27,sada82adsfy,dsfe73adsfy,H%d%83vgfs,sada26$*%^&,C
